k_pixel_inv,PSF_power
2.551020408163265363e-02,7.824579745331131653e-01
3.571428571428571230e-02,6.969949157693742237e-01
4.591836734693877098e-02,6.040632040967122141e-01
5.612244897959182965e-02,5.177191322650488425e-01
6.632653061224488833e-02,4.494602099926690020e-01
7.653061224489796088e-02,3.822380489638502743e-01
8.673469387755100568e-02,3.261529058131948378e-01
9.693877551020407823e-02,2.736258083087002024e-01
1.071428571428571230e-01,2.286403324903686363e-01
1.173469387755101956e-01,1.878405212699759408e-01
1.275510204081632404e-01,1.615920429300935768e-01
1.377551020408163129e-01,1.327138279570529988e-01
1.479591836734693855e-01,1.105123173295965017e-01
1.581632653061224303e-01,8.981298439265163192e-02
1.683673469387755028e-01,7.433838989915743378e-02
1.785714285714285476e-01,6.044366136395148970e-02
1.887755102040816202e-01,4.787954370152479322e-02
1.989795918367346927e-01,3.880184938871173578e-02
2.091836734693877375e-01,3.070702038471414749e-02
2.193877551020407823e-01,2.429191219583269612e-02
2.295918367346938549e-01,1.939015014134206488e-02
2.397959183673469274e-01,1.585989703999994907e-02
2.500000000000000000e-01,1.254074095352864654e-02
2.602040816326530726e-01,1.021292903517173438e-02
2.704081632653060896e-01,8.658460494854983147e-03
2.806122448979591621e-01,7.119340102948480513e-03
2.908163265306122347e-01,5.987803838447174412e-03
3.010204081632652517e-01,4.851061966464719280e-03
3.112244897959183243e-01,4.334248495928714508e-03
3.214285714285713969e-01,3.575733271686610051e-03
3.316326530612244694e-01,3.143280987374247500e-03
3.418367346938775420e-01,2.658338169414316884e-03
3.520408163265306145e-01,2.336796540670860005e-03
3.622448979591836316e-01,1.960588759017451842e-03
3.724489795918367041e-01,1.707720657311731331e-03
3.826530612244897767e-01,1.526096164416355537e-03
3.928571428571427937e-01,1.297506386578266930e-03
4.030612244897958663e-01,1.126776827077159270e-03
4.132653061224489388e-01,9.931742623844100858e-04
4.234693877551020114e-01,8.724301696905262726e-04
4.336734693877550839e-01,7.663973972740333734e-04
4.438775510204081565e-01,6.839285435264895376e-04
4.540816326530611735e-01,6.352427257298543049e-04
4.642857142857142461e-01,5.495989761111994562e-04
4.744897959183673186e-01,5.108282506592779024e-04
4.846938775510203912e-01,4.621574675866748781e-04
4.948979591836734637e-01,4.504715489379642343e-04
